"ID","T_NXA","T_NXB","T_NXC","T_SXA","T_SXB","T_SXC","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foldChange","log10padj"
"WBGene00000002",77.1964655833038,63.6905080130392,58.3398523126112,232.394677904126,262.924395242555,259.914382357853,159.076713568915,1.92047997574425,0.26101503245844,52.8434515221272,3.61220991064161e-13,8.95304394272192e-12,3.78548978653693,11.0480292839272
"WBGene00000003",97.0469853047248,87.2795850549056,80.2172969298404,203.972307225204,156.354448058442,209.89931193568,139.128322418133,1.10654755364445,0.272390219428584,16.3315274170168,5.31719270054437e-05,0.000175719060547576,2.15329734677801,3.75518112728297
"WBGene00000006",76.0936589321138,97.8946697237455,144.634217191682,132.080428449108,272.258989156491,389.461613943156,185.403929566049,1.31811145058373,0.447551846131415,8.42607928703228,0.00369877029098324,0.00663166358752534,2.49339500000784,2.17837751288406
"WBGene00000007",57.3459458618829,80.2028619423457,113.033463855684,290.075371340762,184.358229800253,179.562302007476,150.763029134734,1.38579904449193,0.366100042773016,13.9417794888058,0.000188560418583245,0.000492952069490134,2.61316648991727,3.30719530580979
"WBGene00000019",14.3364864654707,9.43563081674655,23.0928582070753,108.673770242937,216.25142567287,228.757453242401,100.091270774583,3.56644503389642,0.471221558714423,52.7730996745386,3.74394045814475e-13,9.23854526895658e-12,11.8469602995221,11.0343964088019
"WBGene00000020",191.88835730707,239.429131974944,199.327828734755,304.286556680223,629.307206364576,733.82767258763,383.011125608199,1.40294796708161,0.366052952415988,14.2004199475196,0.000164333833655088,0.000440616639924948,2.64441383389122,3.35593910570744
"WBGene00000021",0,5.89726926046659,3.6462407695382,15.0471374182528,21.7807191325193,24.5975756174625,11.8281570330399,2.70634605575794,0.826070896789035,11.0690725455921,0.000877795776528085,0.00184419664397844,6.52666529433,2.73419277263084
"WBGene00000022",388.187941218899,461.166456168488,409.594379778125,1153.61386873271,1811.68910212991,1586.54362732633,968.46589589241,1.85443069185598,0.256318439209374,49.3937250603898,2.09414416603995e-12,4.62557872767789e-11,3.6160902676018,10.3348339229221
"WBGene00000023",9.9252598607105,12.9739923730265,4.86165435938427,92.790680745892,161.799627841572,218.098503808167,83.4082864981254,4.0853925024555,0.517870647177432,59.2318870213899,1.40144391633274e-14,4.29272263586016e-13,16.9756216547761,12.3672671715268
"WBGene00000024",4.41122660476022,14.1534462251198,8.50789512892247,88.6109203519329,261.368629590232,554.265370580154,155.21958141352,5.06692958400983,0.680318203392333,44.7701410547106,2.21575957821625e-11,4.08416410704217e-10,33.519519984913,9.38889681571565
