"ID","T_NEA","T_NEB","T_NEC","T_SEA","T_SEB","T_SEC","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foldChange","log10padj"
"WBGene00000002",66.9803420719529,62.5294322816275,51.7169296317485,300.55472758978,185.327569905637,236.212392453733,150.553565655746,1.99667571864292,0.338667093395312,33.1962756997395,8.33099416507912e-09,2.84800986243348e-07,3.99079374567353,6.54545851110505
"WBGene00000003",96.3576850859674,65.1902591872287,98.5549036378603,186.855138560215,240.014393812218,223.357296265775,151.721612758211,1.31753417195569,0.310631219825825,17.6491362463688,2.65635883289647e-05,0.000162455884665384,2.4923974948764,3.78926455251588
"WBGene00000005",141.011246467269,152.997547072067,176.618193648047,438.933297183902,254.445639009788,302.898203928766,244.484021218307,1.08021525690826,0.332788355984625,10.3445230119059,0.00129859418739442,0.0031168865500851,2.11435152881488,2.50627900509201
"WBGene00000006",105.758434850452,139.693412544061,177.593984773174,198.313236679474,429.139659822479,460.373132231255,251.811976816816,1.36174048078044,0.450275797613597,8.86243526982612,0.00291098956906423,0.00610822826899597,2.5699503378003,2.21408474140721
"WBGene00000007",72.8558106747558,70.511912998431,93.6759480122237,185.973746397195,219.50683484725,247.460601618196,148.330809091342,1.4574483125009,0.29576879234397,23.7800130089434,1.0799811117849e-06,1.43691529813414e-05,2.7462221089662,4.84256883147408
"WBGene00000019",17.6264058084087,11.9737210752053,52.6927207568758,161.294765832639,264.31964888181,285.222446670324,132.188284837544,3.09505832946407,0.620587897583087,21.9257479724481,2.83405794041152e-06,3.04316054870726e-05,8.54486873416268,4.51667513486551
"WBGene00000020",225.617994347631,256.769796390513,261.512021534124,534.123650790049,644.089259344181,738.364587295852,443.412884950392,1.36534680100607,0.252120281289917,28.4934509049397,9.40159625273354e-08,2.11749043063293e-06,2.57638250608002,5.67417854365733
"WBGene00000021",0,3.99124035840176,6.83053787589131,9.69531379321871,35.6983433834629,42.5825061226117,16.4663235889311,3.00019536652759,1.02809765317843,8.02653347616099,0.00460969803953322,0.00903440410204995,8.00108341541741,2.04410048767706
"WBGene00000022",372.504709417703,316.638401766539,350.309013920711,1746.03787494239,1506.92581431469,1503.24281047937,965.943104140233,2.19324148342344,0.209583010012601,101.787273533874,6.18160235009737e-24,7.96523238203701e-21,4.5733187759446,20.0988015493338
"WBGene00000023",12.9260309261664,13.3041345280059,53.6685118820032,143.666922572241,257.483795893487,319.770517675461,133.469985579561,3.15943780577727,0.675782245500621,19.0854238046511,1.24995911791262e-05,9.30994450162487e-05,8.93481467767039,4.03105290792413
"WBGene00000033",14.1011246467269,23.9474421504105,67.3295876337858,33.4929021947556,399.517630206414,429.842278784854,161.371827602824,3.02889953936362,0.940142910063863,8.99469933303766,0.00270763818877701,0.00575506246671789,8.16186891056341,2.23994995808047
"WBGene00000036",183.31462040745,234.152767692903,210.770883027503,299.67333542676,533.956072310093,531.879604776772,332.291213940247,1.12090696522211,0.349229728612597,10.0835153443135,0.00149601650967894,0.00350633448350805,2.17483652895238,2.45514665714897
"WBGene00000040",2116.3437907296,2612.93202130035,2237.48904991697,5289.23437028232,6552.54485891774,8122.01046025437,4488.42575856689,1.51894764674485,0.273851981784972,29.4606899673426,5.70624241477677e-08,1.40981219306675e-06,2.86581930254338,5.85083873766181
"WBGene00000047",27.0271555728933,17.2953748864076,30.2495248789472,45.8323924770339,70.637147546001,66.6858114750334,42.9545678060527,1.28671172178157,0.432395420112438,8.81620294032923,0.00298567311146085,0.00624304210336796,2.43971347015752,2.20460373615653
"WBGene00000051",31.7275304551356,31.929922867214,30.2495248789472,117.225157681644,113.171343917786,97.2166649214342,70.2533574536937,1.8041339224359,0.31891006585659,31.9540842069432,1.57860118720853e-08,4.75596195808095e-07,3.49219452277882,6.32276162786781
"WBGene00000066",10072.9033726453,17033.2834362059,16213.7453351157,21387.8622278405,36823.2209696524,41350.8272191029,23813.6404267604,1.20056904491707,0.393961129639381,9.03094952769793,0.00265446563997442,0.00566216145870514,2.2983030552312,2.24701775072066
"WBGene00000067",3408.94688334624,3282.12998805904,2946.88919788454,10661.3196038885,11965.7808864484,13100.1464590412,7560.86883644465,1.89033534309213,0.203043859249642,81.2058368986207,2.03390363669561e-19,1.0324218126754e-16,3.70721386006467,15.9861428283974
"WBGene00000068",141.011246467269,133.041345280058,130.756010767062,249.433982134627,430.658738264328,384.849442127,244.958460840058,1.3962584058805,0.323780494835346,18.0591875034198,2.14142765023744e-05,0.000139196952150281,2.63218046638759,3.85637027391228
"WBGene00000069",15.2762183672875,10.6433076224047,26.3463603784379,39.6626473358947,56.9654415693556,56.2410458223173,34.1891701826163,1.52841935055825,0.504842011343797,9.10170633410496,0.0025537114878099,0.00548245187843595,2.88469612046987,2.26102517160146
"WBGene00000070",179.789339245768,152.997547072067,161.981326771137,417.779885271425,388.124541892543,486.886768118919,297.926568061976,1.38512408493546,0.240015685543493,32.4916331505089,1.19706789371714e-08,3.85617005531844e-07,2.61194421554882,6.41384382216082
"WBGene00000071",139.836152746709,134.371758732859,128.804428516808,351.675473044933,241.533472254068,288.436220717313,214.109584335448,1.12916631255596,0.275352365950941,16.5328242800644,4.78151258348057e-05,0.00025037548385709,2.18732305302345,3.60140819841225
"WBGene00000072",119.859559497179,82.4856340736363,77.0874988850591,281.164100003343,209.632824975229,188.809225260637,159.839807115847,1.2826312958335,0.34675979363904,13.367078703096,0.000256079922713263,0.000867927785131299,2.43282289038108,3.06151640826094
"WBGene00000081",1077.56094175405,1126.8601945221,1017.75014350781,4080.84571478206,3299.43837569708,3257.96344013567,2310.06980173313,1.72333841051224,0.212767318668203,62.2242164545346,3.06495660225978e-15,5.90127448786824e-13,3.30199608679975,12.229054184413
"WBGene00000082",17.6264058084087,23.9474421504105,41.9590183804752,37.0184708468351,240.773933033143,293.256881787798,109.097025334512,2.76899703435435,0.780526652728826,11.2252683596349,0.000806911051750216,0.00211559978523523,6.81633874872144,2.67456648574039
"WBGene00000086",96.3576850859674,141.023825996862,122.949681766044,207.127158309672,320.525551230241,324.591178745946,202.095846855789,1.24352264720499,0.339165838430098,13.1344439379222,0.000289916305992148,0.000949069384732162,2.36775965984423,3.02270203593437
"WBGene00000088",184.489714128011,155.658373977668,125.877055141426,507.681885899453,312.170619800069,278.794898576345,260.778757920495,1.23791837155489,0.372758133091034,10.7463887094239,0.00104483006444344,0.00261223110589434,2.35857973106386,2.58298840336377
"WBGene00000089",71.6807169541952,70.511912998431,66.3537965086584,165.701726647738,145.83153041755,138.192284020551,109.711994591187,1.10942710128712,0.267046117205543,17.1498460594225,3.45437408251168e-05,0.000196683277553206,2.15759951335462,3.70623256318739
"WBGene00000100",1143.36619010544,1250.58864563255,1281.21374729218,1777.7679928111,3347.28934661534,3889.47004036912,2114.94932713762,1.29447773189608,0.373665834074068,11.6256760515287,0.000650475934626337,0.00178624957064357,2.45288182928948,2.74805786259126
"WBGene00000111",83.431654159801,53.2165381120234,67.3295876337858,264.417648905965,233.93808004482,311.736082557988,169.011598569064,1.98682741786404,0.316187950976509,37.8048934106209,7.81854080717097e-10,3.95674855168945e-08,3.96364407448238,7.40266154793553
"WBGene00000118",904.822164831645,799.578485133152,532.781954319522,1719.59611005179,1477.30378469862,1591.62159677158,1170.95068263439,1.09852700322128,0.300239132920014,13.0869690447591,0.000297357098643705,0.000967941849860222,2.14135947291044,3.01415073261248
"WBGene00000138",183.31462040745,262.091450201715,249.802528032596,389.575336054788,717.005024552956,874.949984292908,446.123157257069,1.51139617065358,0.407740014741055,13.1969671250869,0.000280402524967969,0.000928208242972375,2.85085797945312,3.03235457913879
"WBGene00000149",1870.74920313244,2140.63524555614,1866.68842236858,2982.63107965928,4599.00998269931,5566.25664938592,3170.99509713361,1.1615334925697,0.324396602428941,12.4933345368913,0.00040840656093244,0.00123309630536757,2.23695074849672,2.90900300348829
"WBGene00000150",253.820243641085,331.272949747346,381.534329924786,1084.99375267748,1010.94670305083,1077.41774925325,689.997621382462,1.71395466947668,0.258506190902812,41.8976180239524,9.6179732430897e-11,6.17282259750941e-09,3.28058856469821,8.20951620416522
"WBGene00000166",18.8014995289692,22.6170286976099,14.63686687691,35.2556865207953,46.3318924764092,48.2066107048434,30.9749308009229,1.2255949225161,0.434368425457804,7.9645184839445,0.00477031795758674,0.00930348074368791,2.33851863059226,2.03135453693439
"WBGene00000170",568.74536075132,611.990188288269,543.515656695923,876.985202204784,1414.26202936187,1475.92573107996,915.23736139702,1.12793294220581,0.306982020750038,13.1881486114746,0.000281725080207931,0.000930804106225456,2.18545389393131,3.03114170949884
"WBGene00000171",3.52528116168173,1.33041345280059,4.87895562563665,20.2720197494573,25.8243335114412,20.0860877936848,12.652848549117,2.71635079556425,0.729916575792663,14.9623580799382,0.000109677356488325,0.000459761110744726,6.57208343326639,3.33746776665363
"WBGene00000172",106.933528571013,82.4856340736363,92.7001568870964,190.380707212295,244.571629137767,242.639940547712,159.951932738253,1.26345664923746,0.280756508367739,19.9204294761723,8.07329973377285e-06,6.72815143484721e-05,2.40070252718112,4.17210424215391
"WBGene00000175",1323.15552935121,2293.63279262821,2224.80376529031,2929.74754987809,4799.52833702344,5166.14178053572,3122.83495911783,1.14245528062102,0.383923014085449,8.6353049719482,0.00329710040325395,0.00679666857677909,2.2075640254534,2.16770390688887
"WBGene00000190",16.4513120878481,14.6345479808064,12.6852846266553,9339.23135935868,5243.85878126442,3014.52005607621,2940.23022356577,8.65474886464453,0.546269197822509,151.258652679391,9.20143622851222e-35,3.04109623080241e-31,403.031520683165,30.516969837059
"WBGene00000191",16.4513120878481,18.6257883392082,12.6852846266553,211.534119124772,150.388765743099,126.944074856088,89.4382241296117,3.36713020683119,0.428360486257268,58.8835855185161,1.67281917491049e-14,2.85932591825771e-12,10.3182772135173,11.5437363390689
"WBGene00000207",2336.08631647443,2908.28380782208,2920.5428375061,4447.50485459833,6326.20217108217,7488.09352948568,4404.45225282813,1.16133658129603,0.304241420277589,14.1981105533184,0.000164535644246894,0.000621591469729301,2.2366454512928,3.20649495410887
